species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_depth_ratio,mass_flipper_ratio
Gentoo,Biscoe,50.2,14.3,218,5700,male,3.5104895104895104,26.146788990825687
Gentoo,Biscoe,45.1,14.5,215,5000,female,3.110344827586207,23.25581395348837
Gentoo,Biscoe,46.5,14.5,213,4400,female,3.206896551724138,20.657276995305164
Gentoo,Biscoe,46.3,15.8,215,5050,male,2.9303797468354427,23.488372093023255
Gentoo,Biscoe,42.9,13.1,215,5000,female,3.2748091603053435,23.25581395348837
Gentoo,Biscoe,46.1,15.1,215,5100,male,3.0529801324503314,23.72093023255814
Gentoo,Biscoe,47.8,15.0,215,5650,male,3.1866666666666665,26.27906976744186
Gentoo,Biscoe,48.2,14.3,210,4600,female,3.370629370629371,21.904761904761905
Gentoo,Biscoe,50.0,15.3,220,5550,male,3.2679738562091503,25.227272727272727
Gentoo,Biscoe,47.3,15.3,222,5250,male,3.091503267973856,23.64864864864865
Gentoo,Biscoe,42.8,14.2,209,4700,female,3.0140845070422535,22.48803827751196
Gentoo,Biscoe,45.1,14.5,207,5050,female,3.110344827586207,24.396135265700483
Gentoo,Biscoe,59.6,17.0,230,6050,male,3.5058823529411764,26.304347826086957
Gentoo,Biscoe,49.1,14.8,220,5150,female,3.3175675675675675,23.40909090909091
Gentoo,Biscoe,48.4,16.3,220,5400,male,2.969325153374233,24.545454545454547
Gentoo,Biscoe,42.6,13.7,213,4950,female,3.109489051094891,23.239436619718308
Gentoo,Biscoe,44.4,17.3,219,5250,male,2.566473988439306,23.972602739726028
Gentoo,Biscoe,44.0,13.6,208,4350,female,3.235294117647059,20.91346153846154
Gentoo,Biscoe,48.7,15.7,208,5350,male,3.101910828025478,25.721153846153847
Gentoo,Biscoe,42.7,13.7,208,3950,female,3.1167883211678835,18.990384615384617
Gentoo,Biscoe,49.6,16.0,225,5700,male,3.1,25.333333333333332
Gentoo,Biscoe,45.3,13.7,210,4300,female,3.3065693430656933,20.476190476190474
Gentoo,Biscoe,49.6,15.0,216,4750,male,3.3066666666666666,21.99074074074074
Gentoo,Biscoe,50.5,15.9,222,5550,male,3.1761006289308176,25.0
Gentoo,Biscoe,43.6,13.9,217,4900,female,3.1366906474820144,22.580645161290324
Gentoo,Biscoe,45.5,13.9,210,4200,female,3.273381294964029,20.0
Gentoo,Biscoe,50.5,15.9,225,5400,male,3.1761006289308176,24.0
Gentoo,Biscoe,44.9,13.3,213,5100,female,3.37593984962406,23.943661971830984
Gentoo,Biscoe,45.2,15.8,215,5300,male,2.8607594936708862,24.651162790697676
Gentoo,Biscoe,46.6,14.2,210,4850,female,3.2816901408450705,23.095238095238095
Gentoo,Biscoe,48.5,14.1,220,5300,male,3.4397163120567376,24.09090909090909
Gentoo,Biscoe,45.1,14.4,210,4400,female,3.1319444444444446,20.952380952380953
Gentoo,Biscoe,50.1,15.0,225,5000,male,3.3400000000000003,22.22222222222222
Gentoo,Biscoe,46.5,14.4,217,4900,female,3.2291666666666665,22.580645161290324
Gentoo,Biscoe,45.0,15.4,220,5050,male,2.922077922077922,22.954545454545453
Gentoo,Biscoe,43.8,13.9,208,4300,female,3.151079136690647,20.673076923076923
Gentoo,Biscoe,45.5,15.0,220,5000,male,3.033333333333333,22.727272727272727
Gentoo,Biscoe,43.2,14.5,208,4450,female,2.9793103448275864,21.39423076923077
Gentoo,Biscoe,50.4,15.3,224,5550,male,3.2941176470588234,24.776785714285715
Gentoo,Biscoe,45.3,13.8,208,4200,female,3.2826086956521734,20.192307692307693
Gentoo,Biscoe,46.2,14.9,221,5300,male,3.1006711409395975,23.981900452488688
Gentoo,Biscoe,45.7,13.9,214,4400,female,3.287769784172662,20.560747663551403
Gentoo,Biscoe,54.3,15.7,231,5650,male,3.4585987261146496,24.458874458874458
Gentoo,Biscoe,45.8,14.2,219,4700,female,3.2253521126760565,21.461187214611872
Gentoo,Biscoe,49.8,16.8,230,5700,male,2.964285714285714,24.782608695652176
Gentoo,Biscoe,49.5,16.2,229,5800,male,3.055555555555556,25.32751091703057
Gentoo,Biscoe,43.5,14.2,220,4700,female,3.063380281690141,21.363636363636363
Gentoo,Biscoe,50.7,15.0,223,5550,male,3.3800000000000003,24.887892376681613
Gentoo,Biscoe,47.7,15.0,216,4750,female,3.18,21.99074074074074
Gentoo,Biscoe,46.4,15.6,221,5000,male,2.9743589743589745,22.624434389140273
Gentoo,Biscoe,48.2,15.6,221,5100,male,3.08974358974359,23.076923076923077
Gentoo,Biscoe,46.5,14.8,217,5200,female,3.1418918918918917,23.963133640552996
Gentoo,Biscoe,46.4,15.0,216,4700,female,3.0933333333333333,21.75925925925926
Gentoo,Biscoe,48.6,16.0,230,5800,male,3.0375,25.217391304347824
Gentoo,Biscoe,47.5,14.2,209,4600,female,3.3450704225352115,22.00956937799043
Gentoo,Biscoe,51.1,16.3,220,6000,male,3.1349693251533743,27.272727272727273
Gentoo,Biscoe,45.2,13.8,215,4750,female,3.2753623188405796,22.093023255813954
Gentoo,Biscoe,45.2,16.4,223,5950,male,2.75609756097561,26.681614349775785
Gentoo,Biscoe,49.1,14.5,212,4625,female,3.386206896551724,21.816037735849058
Gentoo,Biscoe,52.5,15.6,221,5450,male,3.3653846153846154,24.660633484162897
Gentoo,Biscoe,47.4,14.6,212,4725,female,3.2465753424657535,22.287735849056602
Gentoo,Biscoe,50.0,15.9,224,5350,male,3.144654088050314,23.883928571428573
Gentoo,Biscoe,44.9,13.8,212,4750,female,3.253623188405797,22.40566037735849
Gentoo,Biscoe,50.8,17.3,228,5600,male,2.936416184971098,24.56140350877193
Gentoo,Biscoe,43.4,14.4,218,4600,female,3.013888888888889,21.10091743119266
Gentoo,Biscoe,51.3,14.2,218,5300,male,3.612676056338028,24.31192660550459
Gentoo,Biscoe,47.5,14.0,212,4875,female,3.392857142857143,22.995283018867923
Gentoo,Biscoe,52.1,17.0,230,5550,male,3.0647058823529414,24.130434782608695
Gentoo,Biscoe,47.5,15.0,218,4950,female,3.1666666666666665,22.706422018348626
Gentoo,Biscoe,52.2,17.1,228,5400,male,3.052631578947368,23.68421052631579
Gentoo,Biscoe,45.5,14.5,212,4750,female,3.1379310344827585,22.40566037735849
Gentoo,Biscoe,49.5,16.1,224,5650,male,3.074534161490683,25.223214285714285
Gentoo,Biscoe,44.5,14.7,214,4850,female,3.0272108843537415,22.66355140186916
Gentoo,Biscoe,50.8,15.7,226,5200,male,3.2356687898089174,23.008849557522122
Gentoo,Biscoe,49.4,15.8,216,4925,male,3.1265822784810124,22.800925925925927
Gentoo,Biscoe,46.9,14.6,222,4875,female,3.212328767123288,21.95945945945946
Gentoo,Biscoe,48.4,14.4,203,4625,female,3.3611111111111107,22.783251231527093
Gentoo,Biscoe,51.1,16.5,225,5250,male,3.096969696969697,23.333333333333332
Gentoo,Biscoe,48.5,15.0,219,4850,female,3.2333333333333334,22.14611872146119
Gentoo,Biscoe,55.9,17.0,228,5600,male,3.288235294117647,24.56140350877193
Gentoo,Biscoe,47.2,15.5,215,4975,female,3.045161290322581,23.13953488372093
Gentoo,Biscoe,49.1,15.0,228,5500,male,3.2733333333333334,24.12280701754386
Gentoo,Biscoe,46.8,16.1,215,5500,male,2.9068322981366457,25.58139534883721
Gentoo,Biscoe,41.7,14.7,210,4700,female,2.8367346938775513,22.38095238095238
Gentoo,Biscoe,53.4,15.8,219,5500,male,3.3797468354430378,25.114155251141554
Gentoo,Biscoe,43.3,14.0,208,4575,female,3.0928571428571425,21.995192307692307
Gentoo,Biscoe,48.1,15.1,209,5500,male,3.185430463576159,26.31578947368421
Gentoo,Biscoe,50.5,15.2,216,5000,female,3.322368421052632,23.14814814814815
Gentoo,Biscoe,49.8,15.9,229,5950,male,3.132075471698113,25.982532751091703
Gentoo,Biscoe,43.5,15.2,213,4650,female,2.861842105263158,21.830985915492956
Gentoo,Biscoe,51.5,16.3,230,5500,male,3.1595092024539877,23.91304347826087
Gentoo,Biscoe,46.2,14.1,217,4375,female,3.276595744680851,20.161290322580644
Gentoo,Biscoe,55.1,16.0,230,5850,male,3.44375,25.434782608695652
Gentoo,Biscoe,48.8,16.2,222,6000,male,3.0123456790123457,27.027027027027028
Gentoo,Biscoe,47.2,13.7,214,4925,female,3.445255474452555,23.014018691588785
Gentoo,Biscoe,46.8,14.3,215,4850,female,3.2727272727272725,22.558139534883722
Gentoo,Biscoe,50.4,15.7,222,5750,male,3.210191082802548,25.9009009009009
Gentoo,Biscoe,45.2,14.8,212,5200,female,3.054054054054054,24.528301886792452
Gentoo,Biscoe,49.9,16.1,213,5400,male,3.0993788819875774,25.35211267605634
Chinstrap,Dream,46.5,17.9,192,3500,female,2.597765363128492,18.229166666666668
Chinstrap,Dream,50.0,19.5,196,3900,male,2.5641025641025643,19.897959183673468
Chinstrap,Dream,51.3,19.2,193,3650,male,2.671875,18.911917098445596
Chinstrap,Dream,45.4,18.7,188,3525,female,2.427807486631016,18.75
Chinstrap,Dream,52.7,19.8,197,3725,male,2.6616161616161618,18.908629441624367
Chinstrap,Dream,45.2,17.8,198,3950,female,2.539325842696629,19.949494949494948
Chinstrap,Dream,46.1,18.2,178,3250,female,2.5329670329670333,18.258426966292134
Chinstrap,Dream,51.3,18.2,197,3750,male,2.8186813186813184,19.03553299492386
Chinstrap,Dream,46.0,18.9,195,4150,female,2.433862433862434,21.28205128205128
Chinstrap,Dream,51.3,19.9,198,3700,male,2.577889447236181,18.68686868686869
Chinstrap,Dream,46.6,17.8,193,3800,female,2.6179775280898876,19.689119170984455
Chinstrap,Dream,51.7,20.3,194,3775,male,2.5467980295566504,19.45876288659794
Chinstrap,Dream,47.0,17.3,185,3700,female,2.7167630057803467,20.0
Chinstrap,Dream,52.0,18.1,201,4050,male,2.87292817679558,20.149253731343283
Chinstrap,Dream,45.9,17.1,190,3575,female,2.6842105263157894,18.81578947368421
Chinstrap,Dream,50.5,19.6,201,4050,male,2.576530612244898,20.149253731343283
Chinstrap,Dream,50.3,20.0,197,3300,male,2.5149999999999997,16.751269035532996
Chinstrap,Dream,58.0,17.8,181,3700,female,3.258426966292135,20.441988950276244
Chinstrap,Dream,46.4,18.6,190,3450,female,2.494623655913978,18.157894736842106
Chinstrap,Dream,49.2,18.2,195,4400,male,2.7032967032967035,22.564102564102566
Chinstrap,Dream,42.4,17.3,181,3600,female,2.450867052023121,19.88950276243094
Chinstrap,Dream,48.5,17.5,191,3400,male,2.7714285714285714,17.801047120418847
Chinstrap,Dream,43.2,16.6,187,2900,female,2.602409638554217,15.508021390374331
Chinstrap,Dream,50.6,19.4,193,3800,male,2.6082474226804124,19.689119170984455
Chinstrap,Dream,46.7,17.9,195,3300,female,2.608938547486034,16.923076923076923
Chinstrap,Dream,52.0,19.0,197,4150,male,2.736842105263158,21.065989847715738
Chinstrap,Dream,50.5,18.4,200,3400,female,2.7445652173913047,17.0
Chinstrap,Dream,49.5,19.0,200,3800,male,2.6052631578947367,19.0
Chinstrap,Dream,46.4,17.8,191,3700,female,2.6067415730337076,19.3717277486911
Chinstrap,Dream,52.8,20.0,205,4550,male,2.6399999999999997,22.195121951219512
Chinstrap,Dream,40.9,16.6,187,3200,female,2.4638554216867465,17.112299465240643
Chinstrap,Dream,54.2,20.8,201,4300,male,2.605769230769231,21.393034825870647
Chinstrap,Dream,42.5,16.7,187,3350,female,2.5449101796407185,17.914438502673796
Chinstrap,Dream,51.0,18.8,203,4100,male,2.7127659574468086,20.19704433497537
Chinstrap,Dream,49.7,18.6,195,3600,male,2.672043010752688,18.46153846153846
Chinstrap,Dream,47.5,16.8,199,3900,female,2.827380952380952,19.597989949748744
Chinstrap,Dream,47.6,18.3,195,3850,female,2.601092896174863,19.743589743589745
Chinstrap,Dream,52.0,20.7,210,4800,male,2.5120772946859904,22.857142857142858
Chinstrap,Dream,46.9,16.6,192,2700,female,2.8253012048192767,14.0625
Chinstrap,Dream,53.5,19.9,205,4500,male,2.6884422110552766,21.951219512195124
Chinstrap,Dream,49.0,19.5,210,3950,male,2.5128205128205128,18.80952380952381
Chinstrap,Dream,46.2,17.5,187,3650,female,2.64,19.518716577540108
Chinstrap,Dream,50.9,19.1,196,3550,male,2.664921465968586,18.112244897959183
Chinstrap,Dream,45.5,17.0,196,3500,female,2.676470588235294,17.857142857142858
Chinstrap,Dream,50.9,17.9,196,3675,female,2.8435754189944134,18.75
Chinstrap,Dream,50.8,18.5,201,4450,male,2.745945945945946,22.139303482587064
Chinstrap,Dream,50.1,17.9,190,3400,female,2.7988826815642462,17.894736842105264
Chinstrap,Dream,49.0,19.6,212,4300,male,2.5,20.28301886792453
Chinstrap,Dream,51.5,18.7,187,3250,male,2.7540106951871657,17.379679144385026
Chinstrap,Dream,49.8,17.3,198,3675,female,2.8786127167630053,18.560606060606062
Chinstrap,Dream,48.1,16.4,199,3325,female,2.932926829268293,16.70854271356784
Chinstrap,Dream,51.4,19.0,201,3950,male,2.705263157894737,19.65174129353234
Chinstrap,Dream,45.7,17.3,193,3600,female,2.6416184971098264,18.65284974093264
Chinstrap,Dream,50.7,19.7,203,4050,male,2.5736040609137056,19.950738916256157
Chinstrap,Dream,42.5,17.3,187,3350,female,2.4566473988439306,17.914438502673796
Chinstrap,Dream,52.2,18.8,197,3450,male,2.776595744680851,17.512690355329948
Chinstrap,Dream,45.2,16.6,191,3250,female,2.7228915662650603,17.015706806282722
Chinstrap,Dream,49.3,19.9,203,4050,male,2.477386934673367,19.950738916256157
Chinstrap,Dream,50.2,18.8,202,3800,male,2.670212765957447,18.81188118811881
Chinstrap,Dream,45.6,19.4,194,3525,female,2.350515463917526,18.170103092783506
Chinstrap,Dream,51.9,19.5,206,3950,male,2.6615384615384614,19.174757281553397
Chinstrap,Dream,46.8,16.5,189,3650,female,2.836363636363636,19.312169312169313
Chinstrap,Dream,45.7,17.0,195,3650,female,2.6882352941176473,18.71794871794872
Chinstrap,Dream,55.8,19.8,207,4000,male,2.818181818181818,19.32367149758454
Chinstrap,Dream,43.5,18.1,202,3400,female,2.4033149171270716,16.831683168316832
Chinstrap,Dream,49.6,18.2,193,3775,male,2.7252747252747254,19.559585492227978
Chinstrap,Dream,50.8,19.0,210,4100,male,2.6736842105263157,19.523809523809526
Chinstrap,Dream,50.2,18.7,198,3775,female,2.6844919786096257,19.065656565656564
